source_path,target_path,category,text_or_binary,source_size,source_hash,github_status,readback_status,authority,notes
campaign-logic-20260905-235627/README.md,docs/research/campaign_logic_proof_20260905/README.md,campaign-logic,text,6414,68844b43931fdc62257f84f992b74f9e692a8c9677363f3e99f3313faaf0d1a9,RECOVERED,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T15:59:30.516Z; commit=9b85db4727f77867b674c92ce74e2f9287e55be5"
campaign-logic-20260905-235627/simulator.py,docs/research/campaign_logic_proof_20260905/simulator.py,campaign-logic,text,12569,25eb30a5f89fdb9c54b5fe1362bc448982accc7cac51e50871030120f4c36875,RECOVERED,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T15:58:14.514Z; commit=8ee9708c3e1df1d2b67b94c7105c1f733ac0359f"
campaign-logic-20260905-235627/evaluate_layers.py,docs/research/campaign_logic_proof_20260905/evaluate_layers.py,campaign-logic,text,7453,79f4f7c0d80acd18755056dbe7a5affdd7449385dbc2581decf9329a1e9bc51e,RECOVERED,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T15:58:31.577Z; commit=1979da35f8d6bc93e5fac06a0eef7b48534ab2ea"
campaign-logic-20260905-235627/layer-evaluation-20260906-005832-678306/REPORT.md,docs/research/campaign_logic_proof_20260905/REPORT.md,campaign-logic,text,2828,90e1431729a55a746958b8b6768bfe6a92830ad6230cf26c9ee5c7b989b5b74b,RECOVERED,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T15:58:32.703Z; commit=a1306235b7b3c7ca91f865aae2eee356bc55e0fe"
map-evolution-proof-20260906-055930/proof02/region.json,docs/world/evidence/map_evolution_20260906/region.json,map-evolution-proof,text,145,65ebe41fe727b4845d4b84fea60a59967f025555bb505cb924232bb1a5b5f6bf,RECOVERED_EXACT_HASH,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T21:04:49.346Z; commit=ca206e7ea5de026d4aa0c274013449eac362df27"
map-evolution-proof-20260906-055930/proof02/runtime_results.json,docs/world/evidence/map_evolution_20260906/runtime_results.json,map-evolution-proof,text,2240,26187b8fc3b5ca75c4c2fe37098465f7d06c75d656918a724a36686ce8116f19,RECOVERED_EXACT_HASH,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T21:04:49.346Z; commit=dc730e2dc14f6ccf60ee579a273d4cf790956c45"
map-evolution-proof-20260906-055930/proof02/reload_results.json,docs/world/evidence/map_evolution_20260906/reload_results.json,map-evolution-proof,text,837,bea6ae11189dd12619c40d03f7a8eb4c37cc4c9cb59cffa1be9393ffc5fc0850,RECOVERED_EXACT_HASH,PASS,WORLD_SYSTEM_PROOF,"modified=2026-09-05T21:05:19.555Z; commit=81841037d0045be854dacfe3404ca04dc864962a"
map-evolution-proof-20260906-055930/control01/control_results.json,docs/world/evidence/map_evolution_20260906/control_results.json,map-evolution-proof,text,1596,8e84a66d528f343023f20496df78cd50583028f06e80aa3cba17f877dcd7df59,RECOVERED_PM_CORRECTED_PATH,PASS,WORLD_SYSTEM_PROOF,"old approved path=proof02/control01/control_results.json; PM correction approved; recovery commit=1f0731e89d900071d499ba323d08548f1e5c3453"
map-evolution-proof-20260906-055930/proof02/01_first_visit.png,docs/world/evidence/map_evolution_20260906/01_first_visit.png,map-evolution-proof,binary,45378,f1973d37aca1b7c3acc247666d04c4e600da611ed939579230b5f386e89ffd4c,BINARY_RECOVERY_PENDING,N/A,BINARY_PENDING,"modified=2026-09-05T21:04:33.144Z; binary blob write blocked; no placeholder"
map-evolution-proof-20260906-055930/proof02/04_revisit.png,docs/world/evidence/map_evolution_20260906/04_revisit.png,map-evolution-proof,binary,47492,f5c9cc9d29c021852dd6048dd5c7e88a73aa09d79050fdfd98c3e3a304edadb8,BINARY_RECOVERY_PENDING,N/A,BINARY_PENDING,"modified=2026-09-05T21:04:45.945Z; binary write unavailable; no placeholder"
map-evolution-proof-20260906-055930/proof02/06_fresh_process_reload.png,docs/world/evidence/map_evolution_20260906/06_fresh_process_reload.png,map-evolution-proof,binary,47264,adf25f4591953b4a64ba476726f489a0746916bdbe6fb2d2ced5aa3043bebcb3,BINARY_RECOVERY_PENDING,N/A,BINARY_PENDING,"modified=2026-09-05T21:05:19.554Z; binary write unavailable; no placeholder"
