graph_edge_id,source,target,legacy_source_edge_ref,source_type,production_state,evidence_level,current_meaning,unlock_or_visibility,physical_travel_implied,notes
VIS-E01-001,R08-L01,R08-L02,01 | R08-L01→R08-L02 | P0/main,P0/main,SOURCE_REFERENCED,CANONICAL_PM,Framing/support relation only; not a mandatory first-play chain.,CONTEXTUAL_ONLY,NO,R08-L01 framing hub and R08-L02 optional/support remain separate from mandatory unlock/travel.
VIS-E01-002,R08-L02,R01-L01,02 | R08-L02→R01-L01 | P0/main,P0/main,SOURCE_REFERENCED,CANONICAL_PM,Historical C08→C01 mapping only; not a mandatory tutorial gate.,CONTEXTUAL_MAPPING,NO,Current RPG enters R01 by quest; R08-L02 is not a required physical gate.
VIS-E01-003,R01-L01,R01-L02,03 | R01-L01→R01-L02 | P0/main,P0/main,PRODUCTION_DEFINED,CURRENT_RUNTIME,R01-L01 first quest/report leads to the current R01-L02 follow-up housing-record investigation.,FOLLOW_UP_AFTER_FIRST_REPORT,NO,Physical travel is independently validated in LOCAL_PHYSICAL_TRAVEL_GRAPH.
VIS-E01-004,R01-L02,R01-L03,04 | R01-L02→R01-L03 | P0/main,P0/main,PRODUCTION_DEFINED,CANONICAL_PM,R01-L03 is an early-season C01 boss milestone after R01-L02 plus additional C01 progression.,MILESTONE_NOT_IMMEDIATE_UNLOCK,NO,Exact quest number and boss runtime remain TBD.
VIS-E01-005,R01-L02,R01-L04,05 | R01-L02→R01-L04 | P1/branch,P1/branch,TBD,INSUFFICIENT,Historical C01 branch toward R01-L04; current quest assignment and visibility trigger are not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-006,R01-L03,R01-L05,06 | R01-L03→R01-L05 | P1/branch,P1/branch,TBD,INSUFFICIENT,Historical C01 branch toward R01-L05; boss and false-return placement are not currently defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-007,R08-L02,R08-L03,07 | R08-L02→R08-L03 | P1/branch,P1/branch,TBD,INSUFFICIENT,Historical C08 branch; current progression/visibility meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-008,R08-L03,R08-L04,08 | R08-L03→R08-L04 | P1/branch,P1/branch,TBD,INSUFFICIENT,Historical C08 branch; current progression/visibility meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-009,R01-L05,R03-L01,09 | R01-L05→R03-L01 | P1/branch,P1/branch,TBD,INSUFFICIENT,Historical C01→C03 cross-campaign clue; no current unlock/dependency contract.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-010,R03-L01,R03-L02,10 | R03-L01→R03-L02 | P1/branch,P1/branch,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C03 intra-campaign progression source; future production fill required.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-011,R03-L02,R03-L03,11 | R03-L02→R03-L03 | P1/branch,P1/branch,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C03 intra-campaign progression source; future production fill required.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-012,R01-L03,R02-L01,12 | R01-L03→R02-L01 | P1/branch,P1/branch,TBD,INSUFFICIENT,Historical C01→C02 cross-campaign clue; no current unlock/dependency contract.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-013,R02-L01,R02-L02,13 | R02-L01→R02-L02 | P1/branch,P1/branch,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C02 intra-campaign progression source; future production fill required.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-014,R02-L02,R02-L03,14 | R02-L02→R02-L03 | P1/branch,P1/branch,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C02 intra-campaign progression source; future production fill required.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-015,R03-L03,R04-L01,15 | R03-L03→R04-L01 | P1/branch,P1/branch,TBD,INSUFFICIENT,Historical C03→C04 cross-campaign clue; no current unlock/dependency contract.,TBD,NO,Legacy source is preserved without current promotion.
VIS-E01-016,R04-L01,R04-L02,16 | R04-L01→R04-L02 | P1/branch,P1/branch,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C04 intra-campaign progression source; future production fill required.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-017,R04-L02,R04-L03,17 | R04-L02→R04-L03 | P1/branch,P1/branch,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C04 intra-campaign progression source; future production fill required.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-018,R06-L01,R06-L02,18 | R06-L01→R06-L02 | P1/branch,P1/branch,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C06 intra-campaign progression source; future production fill required.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-019,R06-L02,R06-L03,19 | R06-L02→R06-L03 | P1/branch,P1/branch,SOURCE_REFERENCED,LEGACY_SOURCE_ONLY,Historical C06 intra-campaign progression source; future production fill required.,SOURCE_REFERENCE_ONLY,NO,No current Production promotion beyond preserved source trace.
VIS-E01-020,R03-L03,R03-L04,20 | R03-L03→R03-L04 | P2/boss_branch,P2/boss_branch,TBD,INSUFFICIENT,Historical C03 boss-branch continuation; current non-timer production meaning is not defined.,TBD,NO,Legacy source is preserved without current promotion.
