record_type,group_id,classification,candidate_count,representative_paths,current_relation,reason
group,ARCHIVE-PACKAGES,C,10,"_codex_archive/*","historically merged/recorded","merge and decision provenance"
group,CORE-LOOP,C,6,"_codex_core_loop_*","absorbed/historical","Godot-era implementation and QA history"
group,CORE-LAUNCH,D,7,"_codex_launch_latest_game*;_codex_live_origin_main_pr15_20260620;_codex_pr20_live_playtest_20260621","superseded","launch/playtest copies"
group,CORE-FIRST10,D,2,"_codex_first_10_minute_*","superseded","preflight/manual copies"
group,R01-BACKGROUND,D,2,"_codex_r01_background_batch2_*","merged archive exists","asset/QA duplicate"
group,R01-FULLMAP,C,4,"_codex_r01_full_map_art_rework_*","historical","old art; not current production authority"
group,R01-PLAYTEST,D,5,"_codex_r01_full_map_playtest*","superseded","duplicate playtest evidence"
group,R01-FLOW,D,2,"_codex_r01_flow_recheck_*","superseded","recheck copies"
group,R01-FIXTURE,C,3,"_codex_r01_production_fixture_batch1;batch2;batch3","historical","raw provenance"
group,R01-STYLE,C,3,"_codex_r01_npc_style_lineup_review;_codex_r01_style_alignment_review_v02;_codex_r01_map_background_batch1","historical","not current art authority"
group,YUNSEO-JUNE,C,25,"_codex_yunseo_*","pre-V105","old design/runtime provenance"
group,YUNSEO-JUNE-QA,D,16,"_codex_yunseo_*qa*;*_output*","superseded","duplicate execution evidence"
group,YUNSEO-SEPT-FAILED,C,10,"yunseo-25d-*;yunseo-authored-*;yunseo-fullbody-*;yunseo-face-*;yunseo-head-structure-*;yunseo-feature-mesh-*;yunseo-vroid-*","pre/current V105 evidence","failure knowledge only"
group,YUNSEO-SEPT-REVIEW,E,4,"yunseo-crosspose-*;yunseo-edge-refine-*;yunseo-face-fit-*;yunseo-shoulder-gate-*","needs cross-check","absorption/approval unclear"
group,YUNSEO-FACE-DESIGN,C,1,"yunseo-face-design-20260907","pre-V105 authority","methodology only"
group,YUNSEO-FEASIBILITY,C,1,"yunseo-feasibility-20260905-191746","historical","tool/source feasibility record"
group,YUNSEO-LAYER,C,1,"yunseo-layer-audit-20260905-202409","historical","V124 layer evidence"
group,CAMPAIGN-LOGIC,B,1,"campaign-logic-20260905-235627","not absorbed","engine-independent causal test"
group,MAP-EVOLUTION,B,1,"map-evolution-proof-20260906-055930","not absorbed","persistent local-state concept/test"
group,MYSTERY-PROOF,B,1,"mystery-proof-20260906-011128","not absorbed","event state-machine design"
group,MOTION-PROOF,B,1,"motion-proof-20260905-145830","not absorbed as Unreal QA","motion QA methodology"
group,CODEX-PATCHES,E,1,"_codex_patches","needs comparison","application status unclear"
group,CODEX-IMAGEGEN,D,1,"_codex_imagegen_tmp","temporary","not authority"
group,CURRENT-PLAYTEST,D,1,"스팀펑크/_codex_playtest","temporary","not canonical"
