"path","folder","type","decision","reason","next_action","commit_candidate"
"assets/art_inbox/**/*.import","all","sidecar","delete_candidate","Godot import sidecars are present on disk and are not part of this no-import review","delete from future repo scope or keep ignored","false"
"assets/art_inbox/**/*.translation","all","sidecar","delete_candidate","translation helper files are review byproducts and create untracked noise","exclude from repo scope","false"
"assets/art_inbox/*.md","root","audit_doc","reference_archive","audit and handoff docs preserve review history better than raw rejected PNGs","keep only selected docs if PMO wants process archive","false"
"assets/art_inbox/*.csv","root","audit_doc","reference_archive","manifest and audit tables are useful for traceability","keep selected audit CSVs only","false"
"assets/art_inbox/characters/char_yunseo_*_v05.png","characters","character_png","delete_candidate","story_deepening_0_2_asset_brief says existing Yunseo v05 visual is discarded","redraw Yunseo from adult return worker brief","false"
"assets/art_inbox/characters/char_yunseo_*_v03.png","characters","character_png","delete_candidate","older Yunseo versions are superseded and not story-locked production art","do not use for runtime or LFS","false"
"assets/art_inbox/characters/char_enemy_role_atlas_*","characters","atlas","delete_candidate","source and alpha atlases are not runtime-ready and duplicate enemy-specific files","exclude unless a new approved slicing workflow needs them","false"
"assets/art_inbox/enemies/enemy_coupon_flyer_swarm_tiny_v04.png","enemies","enemy_png","needs_rework","matches coupon flyer swarm role but cache-recovered and not animated for 0.2","recreate as P0 swarm sprite with 1x readability","false"
"assets/art_inbox/enemies/enemy_mailbox_shooter_v04.png","enemies","enemy_png","needs_rework","matches smiling mailbox role but must read as personal mail converted into ad projectile source","recreate or repaint with projectile cues","false"
"assets/art_inbox/enemies/enemy_homecare_vacuum_ad_device_v04.png","enemies","enemy_png","needs_rework","matches homecare vacuum role but needs suction gameplay states","recreate with pull tell and drop-interference cue","false"
"assets/art_inbox/enemies/enemy_happy_guarantee_consultant_elite_idle_v03.png","enemies","enemy_png","needs_rework","matches Happy Guarantee Consultant but needs elite warning and movement states","redraw as kiosk consultant elite","false"
"assets/art_inbox/enemies/enemy_discount_tag_slime_small_v04.png","enemies","enemy_png","needs_rework","could become sale balloon residue but is not the locked sale balloon enemy","replace with explicit sale balloon design","false"
"assets/art_inbox/enemies/enemy_doorbell_projector_v04.png","enemies","enemy_png","reference_archive","doorbell projector fits R01 infrastructure but is not locked P0 enemy","reuse as prop or P1 enemy reference only","false"
"assets/art_inbox/enemies/enemy_special_*","enemies","enemy_png","delete_candidate","special units are outside locked 0.2 enemy set and risk scope drift","defer until P0 enemies are rebuilt","false"
"assets/art_inbox/enemies/enemy_r01_role_expansion_atlas_*","enemies","atlas","delete_candidate","atlas/source sheets are not final runtime assets","exclude from LFS commit","false"
"assets/art_inbox/bosses/boss_smile_home_mother_in_law_*_v04.png","bosses","boss_png","delete_candidate","story_deepening says existing boss v04 visual is discarded despite useful cue names","redraw as family suitability review node","false"
"assets/art_inbox/bosses/boss_smile_home_mother_in_law_*_v02.png","bosses","boss_png","delete_candidate","older boss concept sheets are superseded and not aligned enough for final runtime","keep only cue taxonomy in docs","false"
"assets/art_inbox/bosses/boss_smile_home_mil_*","bosses","boss_png","delete_candidate","mil/combat LOD source sheets are not the locked story boss identity","exclude from final repo","false"
"assets/art_inbox/r01_props/r01_prop_model_house_command_node_facade_v02.png","r01_props","prop_png","needs_rework","story-fit model-house command node but too candidate-like for final runtime","redraw as command-role landmark","false"
"assets/art_inbox/r01_props/r01_prop_smiling_mailbox_speaker_v02.png","r01_props","prop_png","needs_rework","strong R01 object but must execute mailbox speaker/ad command role","repaint with mail-to-ad projectile logic","false"
"assets/art_inbox/r01_props/r01_prop_doorbell_projector_house_recommend_v02.png","r01_props","prop_png","needs_rework","fits doorbell recommendation infrastructure but needs interaction clarity","redraw as event source not hazard telegraph","false"
"assets/art_inbox/r01_props/r01_prop_drain_campaign_intake_v02.png","r01_props","prop_png","needs_rework","fits drain campaign intake but must avoid horror sewer tone","redraw with silence-pocket relation","false"
"assets/art_inbox/r01_props/r01_prop_homecare_vacuum_command_device_v02.png","r01_props","prop_png","needs_rework","fits homecare command device but needs story/gameplay function","connect to suction and trace deletion logic","false"
"assets/art_inbox/r01_props/r01_prop_consultation_kiosk_v02.png","r01_props","prop_png","needs_rework","fits family qualification kiosk but needs elite/socket function","redraw as Happy Guarantee source object","false"
"assets/art_inbox/r01_props/r01_state_drain_silence_pocket_silent_radio_v07.png","r01_props","trace_png","needs_rework","silent radio is story-fit trace but should be a trace anchor not decoration","recreate with trace item and outpost storage variants","false"
