campaign_id,sector_id,campaign_family,current_display_name,status,regional_secondary_collapse,infrastructure_anchor,gameplay_law,human_recognition_rule,resource_ecology_status,persistence_profile_status,differentiation_status,family_boundary_status,service_dependency_status,persistence_definition_status,notes
E01_C01,E01,C01,서부 스마일홈,REGISTERED,DEFINED,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; R01~R08 ecology contains explicit secondary-collapse material; RISK_5_HOUSING; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E01_C02,E01,C02,백색팔찌 격리권,REGISTERED,DEFINED,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,PARTIAL,TBD,PARTIAL,catalog display name preserved; R01~R08 ecology contains explicit secondary-collapse material
E01_C03,E01,C03,반품 회수 벨트,REGISTERED,DEFINED,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; R01~R08 ecology contains explicit secondary-collapse material
E01_C04,E01,C04,정품충전 공단,REGISTERED,DEFINED,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; R01~R08 ecology contains explicit secondary-collapse material
E01_C05,E01,C05,마지막 수신탑,REGISTERED,DEFINED,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; R01~R08 ecology contains explicit secondary-collapse material
E01_C06,E01,C06,포인트 거리,REGISTERED,DEFINED,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; R01~R08 ecology contains explicit secondary-collapse material
E01_C07,E01,C07,마지막 출항권,REGISTERED,DEFINED,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; R01~R08 ecology contains explicit secondary-collapse material
E01_C08,E01,C08,서부 비상보급망,REGISTERED,DEFINED,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED,PARTIAL,PARTIAL,catalog display name preserved; R01~R08 ecology contains explicit secondary-collapse material; RISK_6_C08; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
E02_C01,E02,C01,통근 가족주택권,REGISTERED,PARTIAL,DEFINED,PARTIAL,DEFINED,TBD,TBD,NOT_AUDITED,DEFINED,TBD,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked
E02_C02,E02,C02,만성 대기 진료권,REGISTERED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED,DEFINED_CANDIDATE,DEFINED_CANDIDATE,DEFINED_CANDIDATE,PARTIAL,PARTIAL,PARTIAL,catalog display name preserved; sector-level context exists; campaign-specific collapse not locked; RISK_1_MEDICAL_WAIT; official anchor/recognition differences exist; gameplay/resource/persistence still incomplete; risk-group candidate lock in 13_CAMPAIGN_DIFFERENTIATION_CANDIDATE_LOCK_V0_1.md
