"path","folder","type","decision","reason","next_action","commit_candidate"
"assets/style_samples/STYLE_SAMPLES_PMO_SELECTION_REPORT.md","root","report","direction_lock_candidate","PMO selection report is the safest compact record of what to keep and reject","commit this report if preserving the selection pass","true"
"assets/style_samples/STYLE_SAMPLES_PMO_SELECTION_TABLE.csv","root","report_table","direction_lock_candidate","CSV gives reviewable file/group decisions without committing the whole sample tree","commit this table with the report","true"
"assets/style_samples/**/*.import","all","sidecar","delete_candidate","Godot import sidecars are generated byproducts and must not define art direction","exclude from commit and consider ignore cleanup","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/HYBRID_PRODUCTION_CANDIDATE_NOTES.md","hybrid_production_candidate","notes","direction_lock_candidate","Captures hybrid 2D/cartoon pipeline and adult Yunseo/R01 readability rules without requiring PNG adoption","optional visual-direction commit after PMO approval","true"
"assets/style_samples/p0_direction/hybrid_production_candidate/hybrid_candidate_contact_sheet.png","hybrid_production_candidate","contact_sheet","direction_lock_candidate","Best compact visual proof of hybrid 2D grammar, but not final production art","optional PMO visual lock artifact only","true"
"assets/style_samples/p0_direction/hybrid_production_candidate/hybrid_candidate_mock_480x270.png","hybrid_production_candidate","mock","reference_archive","Useful viewport readability test but 480x270 is not final map size","keep off-commit unless PMO wants visual appendix","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/hybrid_candidate_high_density_mock_480x270.png","hybrid_production_candidate","mock","reference_archive","Useful density stress reference but not a world-space map plan","use for future readability criteria only","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/hybrid_candidate_game_scale_preview.png","hybrid_production_candidate","preview","reference_archive","Shows scale direction but duplicates contact sheet value","do not commit unless visual appendix is requested","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/yunseo_hybrid_candidate.png","hybrid_production_candidate","character_png","reference_archive","Adult worker direction is useful, but Yunseo still needs redesign from story/personality rules","use as reference, not as final lock","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/yunseo_hybrid_candidate_source_chromakey.png","hybrid_production_candidate","source_png","delete_candidate","Source/chromakey file is operational and too heavy for direction lock","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/coupon_swarm_hybrid_candidate.png","hybrid_production_candidate","enemy_png","reference_archive","Coupon paper threat silhouette is useful but must be rebuilt against final Yunseo/map scale","keep as reference only","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/coupon_swarm_hybrid_candidate_source_chromakey.png","hybrid_production_candidate","source_png","delete_candidate","Source/chromakey file should not be committed for direction lock","exclude from repo","false"
"assets/style_samples/p0_direction/hybrid_production_candidate/mailbox_hybrid_candidate.png","hybrid_production_candidate","enemy_png","reference_archive","Mailbox infrastructure enemy is strong but not final runtime art","rebuild after R01 systems and scale are locked","false"
